Test_name,1,T,Ta,T_xx,V*T_x,T_x,P
RLC_HU_51D_1W_5C_0DR_L_MOD1,2.0338213e-05,4.185869e-06,-2.3329823e-05,1.934906394002332e-09,-0.004973706,0.0,8.425656e-08
RLC_LU_49D_1W_5C_DRP2_L_MOD1,-0.00047778818,-2.2231432e-06,3.4787176e-05,-5.126254474508426e-09,-0.0012289754,0.0,9.867938e-06
RLC_LU_49D_1W_5C_0DR_L_MOD1,2.0669372e-06,9.381009e-09,-1.4005202e-07,2.98954592292127e-07,0.0,-0.0,6.42457e-07
RLC_LU_219D_0W_20C_DRP2_L_MOD1,-0.0033642037,-3.557518e-06,0.00019493878,2.694863161414778e-07,-0.0030121636,0.0,4.32173e-05
RLC_HU_208D_0W_20C_0DR_L_MOD1,-0.051989414,-5.7054767e-05,0.0033438718,-7.287232169334789e-08,-0.06670826,0.0,2.2430606e-07
RLC_HU_316D_0W_10C_DRP1_L_MOD1,0.0001855966,-1.5024457e-06,5.8492653e-05,0.0,-0.00013305992,0.0,-2.0561917e-08
RLC_MU_139D_1W_10C_0DR_L_MOD1,6.896823e-05,1.1800357e-07,-4.3460686e-06,-3.3067057359954955e-10,-0.00051979814,0.0,2.757298e-07
RLC_HU_36D_0W_5C_0DR_L_MOD1,0.078470446,2.477634e-05,-0.004302046,-5.837242165716926e-07,0.02314995,-0.0,8.3172944e-07
RLC_MU_314D_1W_10C_DRP1_L_MOD1,-3.3375752e-06,8.37341e-07,-5.6063504e-06,1.692208728852418e-09,0.0012518009,-0.0,7.6690895e-07
RLC_MU_139D_1W_10C_DRP1_L_MOD1,0.0018024069,1.5066549e-06,-9.207377e-05,-2.8729758348391647e-10,0.0,-0.0,-4.1969895e-05
RLC_MU_251D_1W_20C_DRP2_L_MOD1,0.0013433816,2.072773e-06,-4.2679094e-05,1.045589811275996e-08,0.0,-0.0,-1.4454069e-08
RLC_LU_126D_1W_10C_DRP1_L_MOD1,-8.179788e-05,-5.305404e-07,5.9028384e-06,2.4666686322942562e-08,-0.0005025084,0.0,-7.214696e-07
RLC_HU_316D_0W_10C_0DR_L_MOD1,0.00021885554,5.3516175e-07,-1.3339407e-05,-5.185522864372624e-10,0.0042384714,-0.0,-3.6332884e-10
RLC_MU_314D_1W_10C_0DR_L_MOD1,0.009512205,5.7603497e-06,-0.00051577087,-8.970483886970219e-09,0.0020953077,-0.0,0.0
RLC_MU_49D_1W_10C_DRP1_L_MOD1,4.1486684e-05,1.5635669e-06,-1.05170075e-05,5.058606759943856e-09,-0.00047274056,0.0,3.5175949e-09
RLC_LU_219D_0W_20C_DRP1_L_MOD1,0.013961549,1.3139752e-05,-0.00091253355,-5.131175964872009e-09,-0.002304757,0.0,1.4472331e-05
RLC_HU_51D_1W_5C_DRP1_L_MOD1,0.0015591729,2.1715766e-06,-8.63099e-05,4.8102253694334983e-08,-0.008062587,0.0,0.0
RLC_MU_251D_1W_20C_0DR_L_MOD1,-1.308597e-05,0.0,-0.0,-1.1324817339230144e-07,-0.007089133,0.0,-6.963031e-05
RLC_HU_208D_0W_20C_DRP1_L_MOD1,-0.02858091,-5.174761e-05,0.0015638802,-2.4988961888031733e-07,-0.014827294,0.0,7.841103e-08
RLC_MU_139D_1W_10C_DRP2_L_MOD1,0.0017643272,2.5307083e-06,-0.000104012535,7.44553624441318e-10,0.00038720644,-0.0,6.9464995e-06
RLC_MU_49D_1W_5C_0DR_L_MOD1,0.0002147182,2.6518816e-07,-1.14845525e-05,-2.054550949679533e-09,-0.0031494717,0.0,9.628458e-06
RLC_MU_49D_1W_5C_DRP1_L_MOD1,0.00014745652,2.7554308e-06,-2.1647493e-05,1.558848627354528e-09,-0.006234593,0.0,8.6149265e-09
RLC_LU_126D_1W_10C_0DR_L_MOD1,0.0005642672,3.130571e-07,-3.0917618e-05,9.189952396077377e-10,-0.0005594156,0.0,-1.2446186e-08
